传送速度,是否合格（布尔值）,是否合格（负为合格，正为不合格）,过217面积,最大斜率,峰值温度,150°C~190°C时间,大于217°C时间
1.0833334,0.0,490.56,1054.5839,2.6324794,243.92958,128.4,98.4
1.1,0.0,367.25,1018.039,2.6424346,243.634,126.0,96.5
1.1166667,0.0,257.09,981.6708,2.6495483,243.3372,123.5,94.7
1.1333333,0.0,159.0,948.2302,2.659478,243.03929,121.1,93.0
1.15,0.0,61.44,915.17914,2.668153,242.74025,118.7,91.2
1.1666666,1.0,-84483.47,885.1827,2.676235,242.4401,116.2,89.5
1.1833333,1.0,-492891.75,853.22406,2.6841464,242.139,113.9,87.8
1.2,1.0,-946168.94,824.4614,2.6919532,241.83684,111.6,86.2
1.2166667,1.0,-1328848.5,793.9788,2.6993885,241.53374,109.4,84.6
1.2333333,1.0,-1542217.0,766.78906,2.7058752,241.22975,107.2,83.1
1.25,1.0,-1548492.4,740.4743,2.7131188,240.9248,105.1,81.5
1.2666667,1.0,-1288225.1,715.09827,2.7211583,240.61894,103.0,80.0
1.2833333,1.0,-779017.94,688.37524,2.7261903,240.31235,101.0,78.5
1.3,1.0,-13715.4,665.0421,2.734785,240.00482,99.0,77.1
1.3166667,0.0,3.1263452,640.50775,2.7396789,239.69658,97.1,75.7
1.3333334,0.0,6.5002975,617.13,2.7475622,239.38748,95.3,74.3
1.35,0.0,10.074133,594.93365,2.7539551,239.07765,93.5,72.9
1.3666667,0.0,13.849225,573.9399,2.758931,238.76709,91.8,71.6
1.3833333,0.0,17.827114,552.01337,2.7648337,238.45576,90.1,70.2
1.4,0.0,22.00869,531.37286,2.771645,238.1437,88.4,68.9
1.4166666,0.0,26.393536,512.0192,2.777813,237.83107,86.8,67.6
1.4333333,0.0,30.984192,493.94943,2.783609,237.51775,85.2,66.3
1.45,0.0,35.781517,475.1472,2.78917,237.20375,83.8,65.1
1.4666667,0.0,40.78707,457.67337,2.7945054,236.88908,82.3,63.8
1.4833333,0.0,45.999794,439.56818,2.7995038,236.57387,80.9,62.7
1.5,0.0,51.42243,422.82474,2.80394,236.25801,79.5,61.4
1.5166667,0.0,57.056053,405.53894,2.8085694,235.94151,78.1,60.3
1.5333333,0.0,62.899643,389.63666,2.814832,235.62451,76.7,59.1
1.55,0.0,68.954,375.09125,2.8204014,235.307,75.4,57.9
1.5666667,0.0,75.22163,360.07687,2.8243816,234.98892,74.2,56.8
1.5833334,0.0,81.70351,344.6579,2.8285086,234.67026,73.0,55.7
1.6,0.0,88.3978,330.62814,2.8346481,234.35117,71.8,54.6
1.6166667,0.0,95.30594,317.9462,2.8378432,234.0316,70.6,53.5
1.6333333,0.0,102.43042,304.90363,2.8432224,233.71149,69.5,52.5
1.65,0.0,109.76846,291.55103,2.8475077,233.39102,68.4,51.3
