var,是否合格,过217面积,最大斜率,峰值温度,150°C~190°C时间,大于217°C时间
245.0,0.0,16320.516,2.7114563,235.33662,116.5,71.0
246.0,0.0,16472.324,2.7225037,236.07883,116.5,71.5
247.0,0.0,16733.17,2.7332764,236.8209,116.5,72.5
248.0,0.0,16994.426,2.744049,237.5631,116.5,73.5
249.0,0.0,17147.477,2.755066,238.30518,116.5,74.0
250.0,0.0,17409.535,2.7658691,239.04733,116.5,75.0
251.0,0.0,17671.932,2.7766418,239.79176,116.5,76.0
252.0,1.0,17717.875,2.7876892,240.53632,116.5,76.0
253.0,1.0,17981.045,2.798462,241.28064,116.5,77.0
254.0,1.0,18135.988,2.8092651,242.02509,116.5,77.5
255.0,1.0,18399.816,2.8203125,242.7694,116.5,78.5
256.0,1.0,18555.404,2.8310852,243.51395,116.5,79.0
257.0,1.0,18602.984,2.842102,244.25839,116.5,79.0
258.0,1.0,18867.852,2.8529053,245.00284,116.5,80.0
259.0,1.0,19024.39,2.863922,245.74739,116.5,80.5
260.0,1.0,19181.16,2.8746948,246.49179,116.5,81.0
261.0,1.0,19446.855,2.8857422,247.23846,116.5,82.0
262.0,1.0,19496.027,2.896515,247.98503,116.5,82.0
263.0,1.0,19653.68,2.907318,248.7317,116.5,82.5
264.0,1.0,19920.22,2.918335,249.47813,116.5,83.5
